City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
Kodiak,US,57.79,-152.41,28.4,46,20,8.05,few clouds
Hithadhoo,MV,-0.6,73.08,83.26,71,6,4.52,clear sky
Tual,ID,-5.67,132.75,83.32,71,30,6.96,scattered clouds
Zyryanskoye,RU,56.83,86.63,32.9,96,100,18.45,overcast clouds
Oranjemund,NA,-28.55,16.43,61.2,90,95,10.13,overcast clouds
Turbat,PK,26.0,63.04,78.15,14,0,4.18,clear sky
Sisimiut,GL,66.94,-53.67,21.45,92,94,13.29,overcast clouds
Sydney,AU,-33.87,151.21,59.0,87,75,26.4,shower rain
Kawalu,ID,-7.38,108.21,85.32,64,99,4.92,moderate rain
Busselton,AU,-33.65,115.33,78.01,32,0,0.58,clear sky
Biak,ID,-0.91,122.88,86.97,57,6,0.47,light rain
Kahului,US,20.89,-156.47,86.0,55,40,11.41,scattered clouds
Punta Arenas,CL,-53.15,-70.92,46.4,87,99,6.93,light rain
Lazaro Cardenas,MX,17.96,-102.2,75.63,74,0,5.1,clear sky
Kapaa,US,22.08,-159.32,80.6,83,1,9.17,clear sky
Mahebourg,MU,-20.41,57.7,71.6,88,75,3.36,shower rain
Jamestown,US,42.1,-79.24,54.0,50,1,11.41,clear sky
Ipixuna,BR,-1.76,-48.8,77.0,94,40,4.7,light rain
Hobart,AU,-42.88,147.33,61.0,41,75,10.29,broken clouds
Qui Nhon,VN,13.77,109.23,73.58,91,100,11.52,moderate rain
Medina Del Campo,ES,41.31,-4.91,48.0,93,90,20.8,overcast clouds
Codrington,AU,-38.27,141.97,56.08,63,37,14.29,scattered clouds
Rikitea,PF,-23.12,-134.97,73.74,67,11,8.3,few clouds
Atuona,PF,-9.8,-139.03,78.6,78,1,21.34,light rain
Butaritari,KI,3.07,172.79,81.97,71,95,7.63,overcast clouds
Vaini,TO,-21.2,-175.2,78.8,74,20,11.41,few clouds
Puerto Carreno,CO,6.19,-67.49,77.29,90,96,4.07,overcast clouds
Forestville,US,38.85,-76.88,55.99,81,1,9.17,clear sky
Namibe,AO,-15.2,12.15,67.06,70,1,2.73,clear sky
Tasiilaq,GL,65.61,-37.64,28.4,50,76,14.99,broken clouds
Katsuura,JP,35.13,140.3,66.99,42,20,5.82,few clouds
Tuktoyaktuk,CA,69.45,-133.04,8.6,84,75,5.82,broken clouds
Buluang,PH,13.31,123.34,84.51,76,100,1.28,light rain
Mulege,MX,26.88,-111.98,77.16,49,94,7.07,overcast clouds
Dwarka,IN,22.24,68.97,81.37,49,0,2.93,clear sky
Naron,ES,43.52,-8.15,55.0,74,22,21.0,few clouds
Puerto Ayora,EC,-0.74,-90.35,70.0,80,100,8.01,overcast clouds
Yellowknife,CA,62.46,-114.35,1.99,84,75,11.41,light snow
Mutsu,JP,41.29,141.22,55.4,46,75,23.04,broken clouds
Aljezur,PT,37.32,-8.8,56.7,80,86,2.57,overcast clouds
Yamada,JP,39.47,141.95,57.2,46,22,11.81,few clouds
Kavieng,PG,-2.57,150.8,78.85,91,100,17.29,moderate rain
Saint George,US,37.1,-113.58,64.4,25,1,3.36,clear sky
Ostrovnoy,RU,68.05,39.51,37.15,85,90,18.12,overcast clouds
Mariinsk,RU,56.21,87.75,32.45,97,100,17.67,overcast clouds
Jamame,SO,0.07,42.75,78.73,81,53,5.14,moderate rain
Nandgaon,IN,20.32,74.65,78.28,34,0,2.84,clear sky
Nawa,IN,27.02,75.0,77.58,18,0,2.77,clear sky
Bluff,NZ,-46.6,168.33,52.0,87,100,8.01,light rain
Buraydah,SA,26.33,43.98,59.0,38,0,8.25,clear sky
Chimichagua,CO,9.26,-73.81,74.97,97,93,2.42,moderate rain
Narsaq,GL,60.92,-46.05,26.6,86,100,3.36,snow
Lumby,CA,50.25,-118.97,48.0,87,100,2.24,overcast clouds
Pisco,PE,-13.7,-76.22,64.0,88,0,5.82,clear sky
Mityana,UG,0.42,32.02,71.6,94,20,2.24,thunderstorm
Ust-Ilimsk,RU,58.0,102.66,25.86,96,100,12.82,light snow
Mount Isa,AU,-20.73,139.5,102.2,10,0,12.75,clear sky
Ushuaia,AR,-54.8,-68.3,50.0,76,0,8.05,clear sky
Tuatapere,NZ,-46.13,167.68,52.0,87,100,8.01,overcast clouds
Cabanas,CU,22.98,-82.92,77.0,94,75,11.41,broken clouds
Bengkulu,ID,-3.8,102.27,85.51,62,100,3.56,moderate rain
Rocha,UY,-34.48,-54.33,50.83,93,0,6.08,clear sky
Castro,BR,-24.79,-50.01,50.97,94,93,11.23,overcast clouds
Maniitsoq,GL,65.42,-52.9,24.75,89,88,5.03,light snow
Te Anau,NZ,-45.42,167.72,57.85,89,100,4.47,overcast clouds
Kpandae,GH,8.47,-0.01,78.24,80,100,4.25,overcast clouds
Zhigansk,RU,66.77,123.37,3.33,93,100,5.44,overcast clouds
Severo-Kurilsk,RU,50.68,156.12,36.55,82,98,32.3,overcast clouds
Chicama,PE,-7.84,-79.15,61.93,82,3,4.9,clear sky
Albany,US,42.6,-73.97,50.0,61,1,8.05,clear sky
Hermanus,ZA,-34.42,19.23,66.99,86,100,3.0,light rain
Cherskiy,RU,68.75,161.3,9.41,95,100,5.77,light snow
Kulhudhuffushi,MV,6.62,73.07,82.06,65,0,1.48,clear sky
Poum,NC,-20.23,164.02,76.82,76,1,8.72,clear sky
Mount Gambier,AU,-37.83,140.77,57.2,62,90,16.11,overcast clouds
Shenjiamen,CN,29.96,122.3,66.56,64,53,9.78,broken clouds
Pevek,RU,69.7,170.31,11.26,93,100,2.55,overcast clouds
Bredasdorp,ZA,-34.53,20.04,66.2,88,100,5.82,moderate rain
Mataura,NZ,-46.19,168.86,52.0,87,100,8.01,light rain
Bontang,ID,0.13,117.5,84.22,70,49,6.82,scattered clouds
Komsomolskiy,UZ,40.43,71.72,42.8,35,0,6.93,clear sky
Saldanha,ZA,-33.01,17.94,59.0,93,100,12.75,overcast clouds
Port Hueneme,US,34.15,-119.2,62.6,93,1,4.85,clear sky
Tiksi,RU,71.69,128.87,3.18,94,100,5.5,overcast clouds
Fortuna,US,40.6,-124.16,57.99,93,1,3.36,clear sky
Barrow,US,71.29,-156.79,26.6,79,90,24.16,snow
Ballina,AU,-28.87,153.57,93.99,65,37,13.87,light rain
Muros,ES,42.78,-9.06,53.01,67,80,5.01,broken clouds
Riacho De Santana,BR,-13.61,-42.94,68.63,93,100,2.59,overcast clouds
Kibala,TD,9.11,18.35,75.2,83,0,6.93,clear sky
Manokwari,ID,-0.87,134.08,85.08,71,98,10.18,light rain
Praia Da Vitoria,PT,38.73,-27.07,59.0,77,40,18.66,scattered clouds
Erenhot,CN,43.65,111.98,50.05,39,0,25.95,clear sky
Chagoda,RU,59.16,35.33,43.32,81,79,11.54,broken clouds
Serra,BR,-20.13,-40.31,75.99,88,75,2.24,broken clouds
Tsabong,BW,-26.02,22.4,67.69,71,22,16.17,few clouds
Sola,VU,-13.88,167.55,82.24,81,99,10.6,light rain
Villa Bruzual,VE,9.33,-69.12,73.29,92,100,3.47,overcast clouds
Aykhal,RU,66.0,111.5,-4.0,83,90,4.47,light snow
Smolenka,RU,52.14,113.5,28.4,68,19,8.95,few clouds
Hirara,JP,24.8,125.28,77.0,73,75,20.8,shower rain
Padang,ID,-0.95,100.35,84.65,62,98,2.95,heavy intensity rain
Chuy,UY,-33.7,-53.46,57.24,80,0,10.11,clear sky
Salalah,OM,17.02,54.09,71.6,64,0,3.36,clear sky
Warri,NG,5.52,5.75,73.72,92,100,5.01,overcast clouds
Saskylakh,RU,71.92,114.08,-8.59,90,74,4.52,broken clouds
Lagoa,PT,39.05,-27.98,60.73,74,100,20.62,overcast clouds
Durban,ZA,-29.86,31.03,71.01,88,75,3.36,moderate rain
Qaanaaq,GL,77.48,-69.36,-3.1,86,100,1.68,overcast clouds
Vega De Alatorre,MX,20.03,-96.63,71.35,78,41,7.78,light rain
Chokurdakh,RU,70.63,147.92,-9.72,92,59,6.89,broken clouds
Thompson,CA,55.74,-97.86,32.0,94,90,14.99,overcast clouds
Tuy Hoa,VN,13.08,109.3,80.37,73,100,11.34,overcast clouds
Lata,PT,40.16,-8.33,59.0,79,90,4.0,overcast clouds
Palembang,ID,-2.92,104.75,83.28,71,100,8.41,moderate rain
Coquimbo,CL,-29.95,-71.34,53.6,87,0,3.36,clear sky
Georgetown,MY,5.41,100.34,86.0,70,20,2.24,few clouds
New Norfolk,AU,-42.78,147.06,60.01,47,97,3.0,overcast clouds
Beloeil,CA,45.57,-73.2,33.01,91,1,4.7,clear sky
East London,ZA,-33.02,27.91,66.2,100,75,3.36,light intensity drizzle
Ribeira Grande,PT,38.52,-28.7,61.25,71,87,22.03,overcast clouds
Soanierana Ivongo,MG,-16.92,49.58,75.2,73,75,6.93,shower rain
Singaparna,ID,-7.35,108.11,84.02,66,98,4.76,moderate rain
Ocos,GT,14.51,-92.19,78.8,100,40,9.89,scattered clouds
Airai,TL,-8.93,125.41,83.71,31,11,4.41,few clouds
Grindavik,IS,63.84,-22.43,41.0,93,90,8.05,overcast clouds
Ilulissat,GL,69.22,-51.1,24.8,85,100,2.24,light snow
Hamilton,US,39.18,-84.53,57.2,50,75,8.05,broken clouds
Inhambane,MZ,-23.86,35.38,74.77,84,98,3.49,overcast clouds
Avarua,CK,-21.21,-159.78,73.4,83,100,20.65,light rain
Bonavista,CA,48.65,-53.11,28.99,79,12,10.29,few clouds
Bilibino,RU,68.05,166.44,10.74,93,100,5.93,overcast clouds
Les Cayes,HT,18.2,-73.75,77.27,80,100,4.88,overcast clouds
Los Llanos De Aridane,ES,28.66,-17.92,64.4,68,40,3.36,scattered clouds
Saint-Augustin,CA,51.23,-58.65,25.66,79,0,13.94,clear sky
Upernavik,GL,72.79,-56.15,15.62,96,100,9.33,light snow
Dharmadam,IN,11.78,75.43,78.8,94,40,3.36,mist
Cayenne,GF,4.93,-52.33,75.2,100,0,7.34,clear sky
Alyangula,AU,-13.85,136.42,93.2,44,73,14.99,broken clouds
Waingapu,ID,-9.66,120.26,89.83,48,15,10.4,few clouds
Bethel,US,41.37,-73.41,51.01,87,1,5.46,clear sky
Port Alfred,ZA,-33.59,26.89,68.32,89,98,14.79,light rain
Cap-Aux-Meules,CA,47.38,-61.86,30.2,50,0,6.93,clear sky
Margate,GB,51.38,1.39,51.01,66,38,5.14,scattered clouds
Kaeo,NZ,-35.1,173.78,69.01,87,92,14.0,overcast clouds
Ilo,PE,-17.64,-71.34,62.55,79,18,5.41,few clouds
Nikolskoye,RU,59.7,30.79,43.0,87,90,8.95,overcast clouds
Hilo,US,19.73,-155.09,80.6,69,75,9.17,broken clouds
Svetlogorsk,BY,52.63,29.73,45.59,95,100,7.16,overcast clouds
Cape Town,ZA,-33.93,18.42,66.0,82,20,5.82,few clouds
Nola,IT,40.92,14.53,57.2,87,0,2.24,clear sky
Karratha,AU,-20.74,116.85,98.89,17,0,13.53,clear sky
Hami,CN,42.8,93.45,45.86,43,3,1.57,clear sky
Nemuro,JP,43.32,145.57,50.0,46,40,10.29,scattered clouds
Qaqortoq,GL,60.72,-46.03,26.6,86,100,3.36,snow
Bereda,ES,43.27,-7.54,48.99,86,18,8.99,few clouds
Ormara,PK,25.21,64.64,76.95,31,0,2.8,clear sky
Hasaki,JP,35.73,140.83,68.0,45,20,4.7,few clouds
Sivas,TR,39.79,37.0,42.8,93,75,9.17,broken clouds
Lucea,JM,18.45,-78.17,77.0,88,90,2.24,overcast clouds
Vestmanna,FO,62.16,-7.17,50.0,100,98,27.51,overcast clouds
Saint-Georges,GD,12.06,-61.75,80.6,78,20,11.41,few clouds
Torbay,CA,47.67,-52.73,30.99,58,40,17.22,scattered clouds
Ust-Maya,RU,60.42,134.53,7.5,92,100,5.99,light snow
Camacha,PT,33.08,-16.33,57.2,76,75,10.29,broken clouds
Victoria,HK,22.29,114.16,75.0,64,0,5.01,clear sky
Cidreira,BR,-30.18,-50.21,59.5,68,20,7.63,few clouds
Tosya,TR,41.02,34.04,48.34,77,97,4.5,overcast clouds
Erdenet,MN,49.03,104.08,26.42,79,75,16.28,broken clouds
Guerrero Negro,MX,27.98,-114.06,70.27,69,1,9.62,clear sky
Seoul,KR,37.57,126.98,55.4,46,1,2.57,clear sky
Tarkwa,GH,5.31,-1.98,73.67,95,69,0.6,broken clouds
Jinchang,CN,38.5,102.17,47.1,43,19,15.68,few clouds
Nileshwar,IN,12.25,75.1,78.8,94,40,3.36,mist
Urucara,BR,-2.54,-57.76,75.97,90,93,2.77,overcast clouds
Pangnirtung,CA,66.15,-65.71,0.41,79,0,13.35,clear sky
Santana Do Livramento,BR,-30.89,-55.53,50.31,78,1,12.64,clear sky
Warrnambool,AU,-38.38,142.48,62.01,57,27,1.01,scattered clouds
Ushtobe,KZ,45.25,77.98,39.58,62,47,11.43,scattered clouds
Samfya,ZM,-11.36,29.56,69.21,43,48,6.87,scattered clouds
Carnarvon,AU,-24.87,113.63,78.8,74,0,16.11,clear sky
Santa Vitoria Do Palmar,BR,-33.52,-53.37,58.1,78,0,10.67,clear sky
Ikorodu,NG,6.62,3.5,77.0,100,20,5.59,few clouds
Tecoanapa,MX,16.52,-98.75,75.47,74,97,5.61,overcast clouds
Swan River,CA,52.11,-101.27,37.4,87,14,9.17,few clouds
San Vicente,AR,-26.62,-54.13,54.01,60,1,7.4,light rain
Goroka,PG,-6.08,145.39,71.44,78,79,2.3,moderate rain
Asfi,MA,32.3,-9.24,62.53,77,93,7.9,light rain
Ponta Do Sol,PT,32.67,-17.1,59.0,72,75,10.29,light intensity shower rain
Sisian,AM,39.53,46.03,53.6,93,75,9.17,broken clouds
Makakilo City,US,21.35,-158.09,82.4,78,40,9.17,scattered clouds
Solenzo,BF,12.18,-4.08,78.93,34,9,3.47,clear sky
Yerbogachen,RU,61.28,108.01,18.12,95,100,4.41,light snow
Leningradskiy,RU,69.38,178.42,13.32,89,100,8.77,overcast clouds
Naze,JP,28.37,129.48,77.0,64,75,18.34,broken clouds
Mangrol,IN,21.12,70.12,81.75,41,0,6.13,clear sky
Buchanan,LR,5.88,-10.05,76.87,87,86,1.01,moderate rain
Lianzhou,CN,24.78,112.38,79.59,50,0,1.01,clear sky
Ganzhou,CN,28.82,115.43,70.95,48,49,1.05,scattered clouds
Mirnyy,RU,62.54,113.96,10.4,92,68,2.68,light snow
Kerema,PG,-7.96,145.78,82.67,75,97,7.81,light rain
Galesburg,US,40.95,-90.37,61.0,54,1,5.82,clear sky
Saint Anthony,US,45.02,-93.22,62.6,57,1,4.7,clear sky
Vostok,RU,46.49,135.88,30.6,77,0,13.06,clear sky
San Jose,US,37.34,-121.89,64.99,72,1,5.82,clear sky
Qarqin,AF,37.42,66.04,60.49,25,0,1.3,clear sky
Mar Del Plata,AR,-38.0,-57.56,60.01,82,0,16.11,clear sky
Pinega,RU,64.7,43.39,40.01,94,100,7.43,light rain
Pathein,MM,16.78,94.73,83.88,76,4,3.4,moderate rain
Sayyan,YE,15.17,44.32,51.39,38,0,2.08,clear sky
Waipawa,NZ,-41.41,175.52,68.0,68,100,12.75,light rain
Chandil,IN,22.97,86.05,69.8,60,0,2.19,haze
Progreso,MX,21.28,-89.67,79.0,78,75,11.41,broken clouds
Yabelo,ET,4.88,38.08,59.2,100,83,8.48,broken clouds
Coari,BR,-4.08,-63.14,76.73,90,79,1.48,moderate rain
Fort Nelson,CA,58.81,-122.7,14.0,85,90,3.36,light snow
Carndonagh,IE,55.25,-7.27,49.64,91,94,10.33,overcast clouds
Sorland,NO,67.67,12.69,45.3,70,100,46.98,overcast clouds
Cabedelo,BR,-6.98,-34.83,77.0,88,20,5.82,few clouds
Kaura Namoda,NG,12.59,6.58,77.58,23,93,11.14,overcast clouds
Lebu,CL,-37.62,-73.65,48.54,85,0,6.4,clear sky
Axim,GH,4.87,-2.24,78.15,86,98,3.33,overcast clouds
Isla Mujeres,MX,21.23,-86.73,78.8,88,75,6.93,broken clouds
Abonnema,NG,4.71,6.79,77.0,94,20,4.0,mist
Comodoro Rivadavia,AR,-45.87,-67.5,57.2,33,0,23.04,clear sky
Athabasca,CA,54.72,-113.29,30.2,74,100,10.29,overcast clouds
Brigantine,US,39.41,-74.36,57.99,82,1,6.93,clear sky
Lima,PE,-12.04,-77.03,62.6,82,75,13.87,broken clouds
Ancud,CL,-41.87,-73.82,50.0,87,90,9.17,light intensity shower rain
Mizan Teferi,ET,6.98,35.58,62.26,80,3,3.04,clear sky
Ulaanbaatar,MN,47.91,106.88,28.4,68,75,8.95,broken clouds
Cururupu,BR,-1.83,-44.87,77.61,86,84,4.61,broken clouds
Khatanga,RU,71.97,102.5,-7.42,90,0,7.31,clear sky
Brae,GB,60.4,-1.35,51.8,100,99,23.04,moderate rain
Provideniya,RU,64.38,-173.3,39.2,86,90,22.37,overcast clouds
Derzhavinsk,KZ,51.1,66.32,36.3,76,0,14.85,clear sky
Cabo San Lucas,MX,22.89,-109.91,78.8,78,20,3.36,few clouds
Zhangjiakou,CN,40.81,114.88,51.19,39,2,2.91,clear sky
Cascais,PT,38.7,-9.42,55.99,90,97,17.63,overcast clouds
Vila Franca Do Campo,PT,37.72,-25.43,59.0,77,40,17.22,scattered clouds
Kasongo-Lunda,CD,-6.47,16.82,69.85,93,100,0.56,overcast clouds
Tigil,RU,57.8,158.67,34.34,85,98,11.99,overcast clouds
Xining,CN,36.62,101.77,43.54,60,100,1.14,overcast clouds
Constitucion,CL,-35.33,-72.42,48.36,73,0,12.19,clear sky
Port Elizabeth,ZA,-33.92,25.57,66.2,93,90,5.82,light rain
Vuktyl,RU,63.86,57.31,35.31,96,94,7.43,overcast clouds
Edd,ER,13.93,41.69,81.86,50,0,8.21,clear sky
Richards Bay,ZA,-28.78,32.04,71.94,88,95,4.38,overcast clouds
Dikson,RU,73.51,80.55,1.96,91,0,5.79,clear sky
Ponazyrevo,RU,58.36,46.31,41.7,91,100,10.04,overcast clouds
Bathsheba,BB,13.22,-59.52,77.0,78,75,18.34,shower rain
Tolaga Bay,NZ,-38.37,178.3,61.41,75,100,17.87,light rain
Mecca,SA,21.43,39.83,74.89,64,0,4.21,clear sky
Inverell,AU,-29.78,151.12,78.01,32,47,4.0,scattered clouds
Olafsvik,IS,64.89,-23.71,42.57,79,100,16.2,overcast clouds
Traralgon,AU,-38.18,146.53,60.01,54,18,10.0,few clouds
Kitimat,CA,54.05,-128.65,37.0,96,100,2.95,moderate rain
Chizhou,CN,30.66,117.48,69.17,44,31,1.66,scattered clouds
Trud,BG,42.23,24.73,42.8,93,75,2.24,broken clouds
Kidal,ML,18.44,1.41,75.87,21,63,11.52,broken clouds
Westport,US,41.14,-73.36,57.2,71,1,11.41,clear sky
Ixtapa,MX,20.7,-105.2,79.0,78,5,3.36,clear sky
Boca Do Acre,BR,-8.75,-67.4,74.97,87,32,1.92,light rain
Iquique,CL,-20.22,-70.14,62.6,72,0,9.17,clear sky
Mareeba,AU,-17.0,145.43,93.0,58,0,10.29,clear sky
Caravelas,BR,-17.71,-39.25,71.49,94,100,4.03,moderate rain
Wukari,NG,7.85,9.78,74.37,87,81,4.18,broken clouds
Agadez,NE,19.75,10.25,65.19,28,0,7.92,clear sky
Pocone,BR,-16.26,-56.62,71.35,42,9,1.77,clear sky
Jalu,LY,29.03,21.55,59.38,77,38,6.89,scattered clouds
Lavrentiya,RU,65.58,-171.0,34.14,95,100,21.56,overcast clouds
Oranjestad,AW,12.52,-70.03,82.4,74,20,19.46,few clouds
Angoche,MZ,-16.23,39.91,77.11,74,0,8.03,clear sky
Hay River,CA,60.82,-115.8,6.8,84,49,4.7,scattered clouds
Half Moon Bay,US,37.46,-122.43,63.0,100,1,3.36,clear sky
Ayan,RU,56.45,138.17,22.5,83,69,19.64,broken clouds
Tiznit,MA,29.58,-9.5,64.6,39,98,4.76,overcast clouds
Mahalapye,BW,-23.1,26.81,69.6,68,60,13.35,light rain
Farsund,NO,58.09,6.8,51.01,89,97,25.17,light rain
Great Bend,US,38.36,-98.76,55.99,71,1,10.29,clear sky
Teguldet,RU,57.31,88.17,32.86,96,100,15.01,overcast clouds
Huangzhai,CN,38.08,112.66,53.6,32,97,2.24,overcast clouds
Dongsheng,CN,39.82,109.98,49.89,40,0,13.24,clear sky
Minnedosa,CA,50.25,-99.84,44.6,73,5,14.99,clear sky
Agnibilekrou,CI,7.13,-3.2,71.19,99,70,0.92,broken clouds
Isla Vista,US,34.41,-119.86,68.0,88,1,4.7,clear sky
Alice Town,BS,25.72,-79.3,79.0,79,80,27.58,broken clouds
Eston,CA,51.15,-108.75,42.8,70,75,11.41,broken clouds
Asau,RO,46.43,26.4,37.0,93,100,2.15,overcast clouds
Maryborough,AU,-25.53,152.7,87.93,46,0,11.72,clear sky
Tucurui,BR,-3.77,-49.67,76.8,83,9,2.46,clear sky
Bulgan,MN,48.81,103.53,27.7,74,32,17.4,scattered clouds
Baker City,US,44.77,-117.83,55.4,37,1,6.93,clear sky
Clyde River,CA,70.47,-68.59,-2.2,64,1,18.34,clear sky
Dingle,PH,11.0,122.67,80.4,82,100,2.95,light rain
Arlit,NE,18.74,7.39,74.25,22,13,5.61,few clouds
Catalao,BR,-18.17,-47.95,62.08,77,0,2.19,clear sky
Hervey Bay,AU,-25.3,152.85,84.99,54,0,21.92,clear sky
Iqaluit,CA,63.75,-68.51,1.4,70,75,2.24,broken clouds
Hambantota,LK,6.12,81.12,84.2,83,0,5.82,clear sky
Mattru,SL,7.62,-11.83,73.38,97,3,2.42,light rain
Kremenchuk,UA,49.1,33.42,46.02,94,0,3.42,clear sky
Peniche,PT,39.36,-9.38,57.0,81,85,11.99,overcast clouds
Haines Junction,CA,60.75,-137.51,1.4,70,84,1.12,broken clouds
Loukhi,RU,66.08,33.04,38.62,80,99,9.51,overcast clouds
Kologriv,RU,58.83,44.32,42.3,92,100,9.53,moderate rain
Lorengau,PG,-2.02,147.27,84.6,73,96,6.51,moderate rain
Nizwa,OM,22.93,57.53,74.17,21,0,1.28,clear sky
Hobyo,SO,5.35,48.53,79.74,78,36,12.12,scattered clouds
Palmer,US,42.16,-72.33,51.8,81,1,8.05,clear sky
Hofn,IS,64.25,-15.21,44.67,59,61,8.05,broken clouds
Poya,NC,-21.35,165.15,80.04,66,51,6.64,broken clouds
Gondanglegi,ID,-7.75,112.01,91.17,54,38,3.11,scattered clouds
Nosy Varika,MG,-20.58,48.53,75.9,70,73,7.72,broken clouds
Rawson,AR,-43.3,-65.1,61.66,30,35,20.51,scattered clouds
Altus,US,34.64,-99.33,60.8,67,1,11.41,clear sky
Ishigaki,JP,24.34,124.16,75.2,83,75,24.16,broken clouds
Pafos,CY,34.77,32.42,53.6,76,40,5.82,scattered clouds
Goderich,CA,43.75,-81.72,60.8,51,0,19.46,clear sky
Blaubeuren,DE,48.41,9.78,42.01,93,75,4.7,broken clouds
Namtsy,RU,62.72,129.67,10.4,85,75,4.47,light snow
Haapiti,PF,-17.57,-149.87,82.4,74,40,3.36,scattered clouds
Damnagar,IN,21.7,71.52,73.4,64,0,7.31,smoke
Buala,SB,-8.14,159.59,85.14,72,100,4.14,light rain
Bambous Virieux,MU,-20.34,57.76,77.0,88,75,3.36,shower rain
Kautokeino,NO,69.01,23.04,33.3,93,100,24.99,overcast clouds
Mao,ES,39.89,4.27,62.6,82,23,10.29,few clouds
Acarau,BR,-2.89,-40.12,78.71,82,81,11.63,broken clouds
Edwardsville,US,38.81,-89.95,62.01,62,1,11.41,clear sky
Quarai,BR,-30.39,-56.45,54.73,66,90,15.01,overcast clouds
Maun,BW,-19.98,23.42,71.6,64,0,3.36,clear sky
Tamandare,BR,-8.76,-35.1,76.41,84,8,6.71,clear sky
Chor,PK,25.52,69.77,77.5,50,0,11.77,clear sky
Klaksvik,FO,62.23,-6.59,50.0,100,77,27.51,broken clouds
Loandjili,CG,-4.76,11.86,78.33,84,100,3.71,overcast clouds
Esperance,AU,-33.87,121.9,64.4,52,90,10.29,overcast clouds
Yulara,AU,-25.24,130.99,82.4,30,30,16.11,scattered clouds
Nome,US,64.5,-165.41,33.8,74,90,21.92,overcast clouds
Vorobyevka,RU,50.65,40.92,42.17,89,53,5.59,broken clouds
Takapau,NZ,-40.03,176.35,68.0,69,100,5.99,light rain
Saint-Louis,SN,16.33,-15.0,86.0,35,0,2.24,clear sky
Kaitangata,NZ,-46.28,169.85,54.0,87,98,4.0,moderate rain
San Cristobal,VE,7.77,-72.22,65.21,92,64,2.28,broken clouds
Chapais,CA,49.78,-74.85,24.8,92,40,10.29,scattered clouds
Kruisfontein,ZA,-34.0,24.73,66.99,92,100,1.01,light rain
Saint-Philippe,RE,-21.36,55.77,75.2,50,40,5.82,scattered clouds
Mayo,US,38.89,-76.51,55.4,87,1,5.82,clear sky
Port Hardy,CA,50.7,-127.42,53.6,93,90,10.29,mist
Bubaque,GW,11.28,-15.83,83.55,73,0,11.97,clear sky
Egvekinot,RU,66.32,-179.17,25.12,99,100,7.09,snow
Touros,BR,-5.2,-35.46,77.0,88,40,5.82,scattered clouds
Vanavara,RU,60.34,102.28,22.03,97,100,7.45,light snow
Garowe,SO,8.41,48.48,73.0,44,6,7.18,clear sky
Luderitz,NA,-26.65,15.16,58.87,91,10,6.76,clear sky
Sao Geraldo Do Araguaia,BR,-6.4,-48.55,74.14,90,17,1.01,light rain
Luanshya,ZM,-13.14,28.42,64.99,87,74,1.99,broken clouds
Jibuti,DJ,11.5,42.5,75.2,83,1,11.21,clear sky
Fairhaven,US,41.64,-70.9,57.99,82,1,9.17,clear sky
Beoumi,CI,7.67,-5.58,75.2,94,18,4.7,light rain
Fayaoue,NC,-20.65,166.53,77.63,70,0,3.29,clear sky
Naliya,IN,23.27,68.83,81.43,50,0,7.63,clear sky
Lyss,CH,47.07,7.31,45.0,87,90,6.93,overcast clouds
Eucaliptus,BO,-17.58,-67.52,48.69,58,0,8.03,clear sky
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,42.8,41,66,13.42,broken clouds
